,filename,sentence,PiPP
4162257,the-acolyte-dawn-of-a-new-hero.epub.txt,"I knocked his ass out several yards away as he growled helplessly, unable to move by the paranormal force that I had projected from my mind.",F
4090847,best-of-blog-in-france.epub.txt,"Tractor number 3 was another Mc Cormick, a totally rusted up wreck that we bought for a few hundred euros as we were told the engine block was fine and so we could put it onto Rusty and get him going again.",F
2129650,shattered-destiny-episode-one.epub.txt,He didn't even bother to switch his gaze towards the ship as a hatch appeared in the side and a ramp grew out of it.,F
2215063,jesus-christ-who-he-is-and-what-he-says.epub.txt,"In the Western world, all history is recorded as having taken place so many days, months and years before, or after, the birth of Jesus Christ.",F
4673804,love-and-other-tales.epub.txt,"I'm sorry to bring this up again, but do you feel as if you've forgiven yourself for staying with Kayden?""",F
519005,good-karma.epub.txt,Karma winced and dug her nails into Brian's shoulders as he gained entry.,F
3936211,the-chronicles-of-the-jinn-and-their-charges.epub.txt,The Annogrammatrons Ihrvierner the Cosmologist from the Fourth order and Johannes the Contemplative from the Ninth Order showed up as Azeyas had summoned.,F
3729216,99-easy-street.epub.txt,He appeared to consider the prospect as Mark's guts churned.,F
1077529,after-yekaterina.epub.txt,Kazakov said as he poured himself a cup of steaming black tea.,F
1543273,envious-shadows.epub.txt,A couple of elderly aunts and a couple of cousins with whom he played as a boy and of whom he had good memories even though now they had moved to Michigan and North Carolina so that their relationship was reduced to an exchange of Christmas cards.,F
1176394,the-naked-truth-about-small-group-ministry-when-it-wont-work.epub.txt,* Create a high level of ownership for each member of the group as each person leads in ministry to one another in and outside the meetings.,F
1437249,a-stranger-north.epub.txt,"Can't say I'd recommend walking there though — there's a lot of rough country between here and the eastern seaboard.""",F
1893646,the-book-of-the-sphere-an-historical-companion-to-the-chroni.epub.txt,"TRIBE ILGOVERNOH

The Handmaiden Ilgovernoh sent out her Lifepulse and birthed unto The Sphere a Human Tribe which she also named after herself and gifted them with the fundamentals of government and order that they might find diplomatic solutions to social issues within The Sphere that will benefit every Human Tribe, setting them upon their homeworld of Plohm to enforce laws which would protect the weak and the innocent, to guide them in a way which will keep the peace and tranquility, and to serve as a beacon of light to the other Human Tribes.",F
4422375,pure-experiences-volume-3.epub.txt,"Once you master seeing sounds as yourself, move to stationary things and then to moving things.",F
3990695,writing-skills-from-culture-man.epub.txt,"As far as I can see, this only applies to prepositional phrases—those starting with prepositions such as _in_ , _before_ , _until_ , _under_ , etc.—and single adverbs (see a bit further below in ""Commas with words—adverbs"").",F
828908,the-summer-of-our-foreclosure.epub.txt,"""We'll keep in touch,"" said Nub as they separated.",F
3408570,bleodsian.epub.txt,"An overhanging sense of doom, nestled above my mind, slowly descended upon me as I stood before my door, for what I could not help but feel was the last time.",F
4374109,inner-peace-now.epub.txt,What is it that makes you feel as if you exist?,F
4640225,a-spell-broken.epub.txt,Then Laura who is as red as a beetroot by now says 'shut up Melody' and Melody giggles again like an idiot and says 'well you did say you still liked Rene the other night Laura'.,F
2405645,the-endonshan-chronicles-book-2-sanaraheim.epub.txt,"Startled, he looked back toward the tunnel as many of the Hranites around him also turned to face the new threat.",F
2442901,one-year-of-instants-2018.epub.txt,"This one is good for chasing things around on a griddle,"" the chef laid them out as he spoke.",F
1294945,prophecies-of-genesis-and-revelation.epub.txt,"The name Joshua even appears in some Hebrew Scripture written as Yeshua, written exactly the same as the name of Jesus, Yeshua.",F
5111148,dividers.epub.txt,"Mesa used his brother as bait...to see if you could learn mercy.""",F
5636614,zone-the-end-and-the-beginning.epub.txt,"As soon as they fired their broadsides, they started to go about to bring their opposite side cannons to bear, but one went downwind in a jib while the other tried to go about.",F
5268285,the-children-of-the-city.epub.txt,"""And then I fold them up as small as possible,"" he folded the square of napkin as he spoke, ""and hide them around the flat so no one can find them.",F
3411602,izzy-elizaan-alien-tale.epub.txt,"Ask her,"" said Paksha as he pointed at Thilillian.",F
4178973,aacr-2018-proceedings-abstracts-3028-5930.epub.txt,These studies suggest that targeting TWIST1 may be an effective therapeutic strategy to overcome HGF-MET-driven resistance in EGFR mutant NSCLC as well as MET TKI resistance in MET-driven NSCLC.,F
1553733,a-hustlers-dream.epub.txt,"""I'll call you,"" Worlds said as he put in his chips and then showed his hand.",F
5762615,april.epub.txt,"He flexed his fingers and, as they moved, he felt the darkness coming back.",F
766371,star-base-the-rockets.epub.txt,"""I don't know how long it'll be 'til I can play again, though,"" said Cassie, as she became sleepy and started to yawn.",F
1691943,ashtium-city-of-sun-book-1.epub.txt,The bark of a tree meets my back just as the woman's silver form rounds the bush.,F
1699158,seven-years-after.epub.txt,Then one day he came out of the shadows as a lighted pathway shone brilliantly.,F
3940704,the-biblical-festivals-messiahs-aliyah-of-glory.epub.txt,"(Matthew 13:36-43)

And the serpent cast out of his mouth water as a flood after the woman, that he might cause her to be carried away of the flood.",F
1547482,alora-funk-the-deliverance-book-1.epub.txt,"Hot air met my face as I walked through the doors, with no one noticing my return.",F
2439747,walkers-adventures-in-great-britain.epub.txt,"With the Two Together railcard, the price is the same as the bus fare, £10 for seniors, down from £16 without the railcard.",F
115194,touched-by-the-white-bear.epub.txt,It was as if he had never been shot.,F
4019787,mariposa-2173.epub.txt,"It took only eighty seconds to get all of the databall and other gear updated and then deployed from the ship (a fascinated Priti watched as Xiu-Li Chen got the TacHawk package going; seeing them enter the Tac Bay with five minutes to go, Takaguchi had shaken his head and muttered about hoping Truhart or the Captain didn't stop by in the next six minutes, and then gratefully scrambled out of the drop operator seat so Xiu-Li could take over its launch, and he could monitor all of the others).",F
3259649,on-the-edge-of-darkness.epub.txt,"Voice One' pulled at his trousers, Bushel could hear teeth chattering as the man turned his back and hurriedly retraced his steps.",F
305231,the-gold-of-ophir.epub.txt,"We ate our fill, packed for the beach, and I got a decent workout acting as a mule for Joey.",F
1490277,my-name-is-elijah.epub.txt,The kids were broken into two color groups; the white group was for kids who claimed themselves as proficient swimmers and the yellow group was for the non-swimmers.,F
38299,worlds-apart.epub.txt,The rear of his Kevlar body armour exploded as he was shot multiple times.,F
4507739,fidel.epub.txt,"Please Bart, take over the gym so I can join and become as young and slim and gorgeous as you.'",F
3920574,knowing-times-and-seasons.epub.txt,"I have labored this point about the degrees of knowledge because it relates to the calling and anointing of those who possess an Issachar-spirit, as it were.",F
205535,dream-whispers.epub.txt,"His heart tearing in pieces, Kayde returned her gaze with as much strength as he could.",F
1468211,the-spring-equinox.epub.txt,Kaden looked over his shoulder in annoyance as Liam stepped out onto the balcony.,F
2837785,seal-the-deal.epub.txt,She could feel the warmth and heat radiating off his large frame as he sat beside her.,F
2142091,lucindas-list.epub.txt,"He can go for hours, totally amazing and his hands can be all over my body at the same time, as for his tongue .",F
3464511,verity-cursed-1.epub.txt,I just hoped things would go as smoothly once Joey was around.,F
3973103,chris-lawler-one-of-a-kind.epub.txt,"Once the ambulance arrived, number Three along with the local who had been shot was dispatched to hospital as quickly as possible, although upon its arrival he was pronounced dead.",F
1792313,spring-spectacular-2020-a-healthy-dose-of-science-fiction-fa.epub.txt,"Kimberly acts insulted as she states, ""I have only one target.",F
1776634,sufism.epub.txt,"Attaining to the value of a single drop would more than suffice for the author of book, so long as the book functions like a bridge in connecting hearts to Divine presence; after all, the Sufi way is essentially a state-of-mind ( _hal_ ) rather than words expressed ( _qal)._

In this context the work will first give a general content of Sufism, and then proceed to explain the main concepts of this Islamic tradition, such as knowledge of the Divine ( _marifatullah_ ), love of the Divine ( _muhabbatullah_ ), purification of the soul ( _tazkiyatu'n-nafs),_ purification of the heart ( _tasfiyatu'l-qalb_ ), exemplary Sufi courses of action (uslub), and the like.",F
510766,see-me-forever.epub.txt,"""My love,"" she murmured as his mouth found hers.",F
16561,from-the-hillside.epub.txt,It may be as people are arriving but local custom and needs vary.,F
1427995,of-little-faith.epub.txt,He swallowed as he recognized the flower.,F
4071308,johnny-and-the-used-wonz.epub.txt,It might have been 'N' reg but once inside Johnny recognised quality as he got comfortable in the passenger seat.,F
2960972,cyclopedia-of-philosophy.epub.txt,Then there is the question of the director of the movie as God and of God as the director of a movie.,F
3851967,quantum-civil-war.epub.txt,"I had a knack for survival, which is likely attributable to my superior intellect as compared to the others.",F
3481542,suspicions-and-untruths-about-islam.epub.txt,"The concept of Mahr in Islam is neither an actual nor symbolic price for the woman, as was the case in certain cultures, but rather it is a gift symbolizing love and affection.",F
3247622,when-good-girls-do-it-a-memoir.epub.txt,"The only anonymous place, so long as I made sure to erase the Internet history afterward.",F
1587465,horses-ass.epub.txt,The pumps thrummed with the defeatist sound of mechanical respiration as they pushed selective poisons into the patients to whom they were tethered.,F
2451483,925-ideas-to-help-you-save-money-get-out-of-debt-and-retire-.epub.txt,Social Security: It is fairly clear from recent discussions in Washington that social security will not go away as many have claimed.,F
694500,letters.epub.txt,"At times my eyes filled with tears, on seeing them hasten to leave their flocks or their pickaxe, and run at top speed to the feet of our horses that we were obliged to hold back so as not to trample them.",F
994856,further-in.epub.txt,I learned a few things in school that I applied as a teacher.,F
4249841,diary-of-a-wimpy-czarovitch.epub.txt,I watched carefully as my father removed them from the trunk of the Rolls Royce and carry them into the house.,F
5549318,queen-of-hearts.epub.txt,He watched me as if he was ready to burst any moment then he started kissing on my neck as I unbuttoned and unzipped his pants.,F
5385155,blizzardstars-choice.epub.txt,### She halted the group as they approached a tall oak tree.,F
4313671,wisdom-from-above-a-guide-for-the-interpretation-of-the-epis.epub.txt,"The verb translated ""stumbles"" depicts sin as an obstacle which causes someone to trip on the road of Christian living.",F
1974446,crossed-lines-a-novel-of-love-lost.epub.txt,"We _made love_ that night, again, but it was slow, mellow, a footnote to the night's events, as though we were both tired of pretending.",F
2581473,breathe-in.epub.txt,His muscles sparkle as a hint of sunlight bounces off his sweat.,F
4386675,bump.epub.txt,No more words were spoken as Ryan got into the Cherokee and pulled away.,F
3315804,zombie-world-order-part-one.epub.txt,"There were crates of them stacked in a corner, hulking ominously, as if their very presence was a prediction that in the end, it would all come down to shotguns in a roof fight.",F
3752323,princess-of-ice.epub.txt,"We are as much your sisters as Elan and Coral are!""",F
1811646,the-keeper-awakening.epub.txt,"""I'm into old cars...I like to buy them and rebuild them as best as I can.",F
3834395,one-nation-under-par.epub.txt,It's difficult enough keeping you safe as it is.,F
1049223,the-rostical-users-sceldrants-comet.epub.txt,"*

Guard B: ""In honour of my comrades!-"" *He gasped as strings of lightning sparked in between his arms and legs.",F
1503043,supernatural-six-origins-6-book-boxed-set.epub.txt,"""It's fucking cold here,"" he complained as he walked into the two-story house in suburban Washington, DC.",F
789624,churning-waters.epub.txt,It much resembled the sands along the beach during a calm low tide and would easily be mistaken as such if not for the lack rolling waves that incessantly accompanies the ocean shoreline.,F
2192156,time-tells-tales-tale-four-jims-tale.epub.txt,"""I'm going to the police station to report them as missing and you will stay here in case they just wandered out by mistake and come back.",F
2198543,sixty-five-hours.epub.txt,"And it occurred to me as I got to my building, I haven't even looked at another guy.",F
3581207,azure.epub.txt,"He kept biting till the big man's fist opened up and he pulled off the brass knuckles and slid it onto his own hand, his teeth feeling the bone beneath the skin, then he let go and swung as hard as he could and connected with Zander's nose and felt warm blood spray all over him.",F
4072744,the-curse-of-count-dookula.epub.txt,"""As long as there aren't too many of us.""",F
2325674,if-i-say-yes.epub.txt,My hands shake as they reach towards the zipper of her dress.,F
1557103,miracles-in-religion.epub.txt,"His secretary wrote that _""...such matters, as no reference occurs to them in the Teachings, are left for students of history and religion to resolve and clarify.",F
5230729,kiss-me-to-spring-time.epub.txt,Painted as though ravaged by an earthquake.,F
5285796,viva-la-vida-english-version.epub.txt,"Great drops are fallen as sandwiches, puttana poverty: to moments I drown.",F
1677065,amanda-ackers-and-the-deep-forest-elves.epub.txt,"It seems as though _little_ time has passed, before Thian lowers some from their latest _dive_ and rise, and they once again begin to follow the old dirt road.",F
5806123,troll-brother.epub.txt,"He decided like Robert earlier, that it would be better to come clean on everything he could, but keep as much about his mission from the humans as possible.",F
2004036,the-saga-of-wasp-and-other-stories.epub.txt,"Now, as to the ""balanced diet"".",F
4308949,the-last-of-the-giants-how-christ-came-to-the-lumberjacks.epub.txt,"He was armed, as usual, with a Colt 45, and he went outside in the dark, took off his neck bandanna, and cut two slits in it for eyes.",F
5030116,wolf-nights-werewolves-kickass-heroines-sizzling-romance.epub.txt,"""You need to pay up if you want protection in our neighborhood,"" Tall Guy countered, acting as if he had a full posse behind him rather than being the only member of his gang with all body parts still intact.",F
1383626,history-of-judaism.epub.txt,"Anyone, regardless of ethnicity, can adopt a religion as their own.",F
4709432,lavventura.epub.txt,"As soon as we opened the second and third page, we were hit with the most exhilarating nudity.",F
3411151,the-bride-wore-blue-brides-of-bath-book-1.epub.txt,"""As happy as I am to see the lovely Mrs. Harrison out again, I cannot help but worry for her.",ASAS
3798886,i-am-lance-richard-deity-lord-book-3.epub.txt,Jinks kept his mouth shut as darkness arrived within his eyesight till he knew of nothingness left.,F
1584861,the-phone-rang-in-the-middle-of-my-shower.epub.txt,The exact shape of it cannot be explained as it had no shape.,F
4506256,a-nexus-of-worlds-journey.epub.txt,"Sunliner Eight stood on top of a Sirius Resupply Vehicle, a bird almost as large as a Sunliner and filled with enough to keep the station well-supplied until a normal re-supply mission schedule could be re-instituted.",F
5301572,baseball-the-last-great-american-pastime.epub.txt,"He was a nervous wreck, as in those days people were not as accustomed to media scrutiny as they are now.",F
3560328,gamers-and-gods-aes.epub.txt,"His body winked out as Rita's had, teleported back to the base.",F
1059876,fade-chaos-2.epub.txt,You might as well take advantage of the fire instead of making your own.,F
759455,the-beginning-in-an-end.epub.txt,Nanini asked as she took a seat on the small sofa.,F
1774471,a-leap-of-fate-the-caronian-conflict.epub.txt,"He knelt as he slipped his pack across his back, and when he looked up to get moving he was suddenly staring into a loaded crossbow at full draw.",F
3620331,destiny-will-out-the-experiences-of-a-multicultural-malayan-.epub.txt,"Anyway, we all had a laugh, as there was enough to eat and drink.",F
252267,skool-dayz.epub.txt,The girls were not going to fail as long as they had competent tutors.,F
3909351,the-rapture-yes-or-no.epub.txt,"Jesus said, ""To him who overcomes, I will grant to sit with Me on My throne, as I also overcame and sat down with My Father on His throne"" (Rev.",F
3349995,in-the-wake-of-war.epub.txt,"Frankly, it comes as no surprise to me to declare David Patel the winner, with a score of two hundred and eighteen points!",F
3210423,on-the-outside-looking-in-hope-for-separated-fathers-who-wan.epub.txt,"Notice that both of the original words in Greek and in Hebrew for the word _just_ have ""righteous"" and a reference to being ""lawful"" as part of their meaning.",F
4645889,with-a-gladsome-mind-ten-short-stories.epub.txt,"""Grandmother"" was left alone, to deplore to the white Persian cat on the rug the folly which had caused the master of the house to act with such wilful self-assertion as to his marriage.",F
2655004,fantasy-football-for-smart-people-a-guide-to-winning-at-dail.epub.txt,"But the Vegas lines don't tell the whole story, especially as it relates to specific positions and their fantasy prospects.",F
4735795,hardchange.epub.txt,"She had the blanket, of course, but the blanket was only one more thing that could be pulled away from her, as it had been the night of the attack by that stranger.",F
1339040,silent-discourse.epub.txt,The cynical smile immediately melted from his face as he stood up.,F
3551499,nwo-ordinance-code-us-reporting-agency-version-2nd-edition.epub.txt,Reporting Agency_ command post facility as instructed during initial implementation procedures.,F
4653570,quatra-realities.epub.txt,"""That's the one,"" he said as he began to pace back and forward, tapping his fingers on his thumbs and occasionally running a hand through his hair.",F
3420128,words-of-life-blogposts-volume-2.epub.txt,"(3) And being in Bethany at the house of Simon the leper, as He sat at table, a woman came having an alabaster flask of very costly oil of spikenard.",F
5044607,desire-of-the-soul.epub.txt,"It looked as if I was in a hospital room, everything made of steel from the walls to the bed I was lying on, or rather, chained onto.",F
426242,the-bird-knows-more.epub.txt,"Inside, a number of Alchens were still trying to escape the clutches of CROSS as they fought their way to the exits.",F
4657407,secrets-of-sanctuary-hospital-andrew-and-mias-encounter.epub.txt,"As I stand by Brian, I realize she is right waiving us off, despite being able to pass ourselves off as high school juniors, our physical appearance would align us more with those who stay away.",F
5253596,2nd-international-conference-on-the-origin-of-life-and-the-u.epub.txt,Faulty proteins such as these can pose a great danger to the health of the cell.,F
1343311,fool-me-twice.epub.txt,I stood up and drove a crimson boot into his testicles as hard as I could.,F
236441,the-wrong-night.epub.txt,"she said, and then, as if in a daze, she walked back inside, still carrying the kitten, and shut the door.",F
203529,bitch-heiress-x-samurai-butler.epub.txt,"I'll make him pay for that - Ranmaru _no Baka!_ "" Kusanagi continued to be distracted by her inner thoughts as she was spazzing out and nearly fell off of Sora in the process.",F
1696723,reflections-on-the-history-of-procedural-law.epub.txt,"According to the present law (c. 1425, §1, 1°) marriage cases are, in general, regarded as contentious cases and must, in general, be handled by the process which is designed for those cases (c. 1691).",F
3112617,the-converging-closures-in-blood.epub.txt,"She is a special woman, just as you are, so I want you to promise me that you'll also take care of her.""",F
5539874,safety-assured-leaving-east-of-medicetti-book-5-forest-at-th.epub.txt,"Tell me as soon as he regains consciousness.""",F
5215420,blood-shadow-book-of-hartwell.epub.txt,"In truth, Emily had her share of experience as a Phillips playing both sides of the fence.",F
30157,faradays-cage.epub.txt,"""You don't look for evolution in your grandfather,"" she said as she did The Twist.",F
5779901,the-avma-150-years-of-education-science-and-service-volume-3.epub.txt,"Chapter 4  
A RECORD OF VETERINARY MEDICINE

Victor Schultz

As the official publication of the American Veterinary Medical Association, the Journal of the American Veterinary Medical Association has played a vital role in bringing to prominence the AVMA and the veterinary profession itself in the United States.",F
5486519,what-emma-left-behind.epub.txt,Collin whom I admired and loved--I cannot now hear his name without recalling the hunting knife and remembering the moment when I saw the instrument of my father's death lodged gloating victoriously in his back as he lay in that horrible pool of blood!,F
4569004,forbidden-the-bittersweet-vampire-chronicles-book-1.epub.txt,"Ariel stood perfectly still, forgetting even to breathe for a long moment, as his predatory yellow eyes silently engaged her soft violet ones most directly, riveting her to the spot.",F
2382308,the-storm-feather.epub.txt,We shook the captain's hand as we disembarked.,F
5748378,the-clarity-technique.epub.txt,I said many things I regretted as the dawn broke.,F
3016254,take-care-of-me.epub.txt,She figured as long as she kept plying him with questions that she would be able to keep the conversation going smoothly.,F
5167884,icy-sidewalks.epub.txt,"It felt sooo good to take the pressure off my legs, since I was beginning to have doubts as to whether they were capable of keeping me from plunging down and bouncing off one of the shiny new cars three floors below.",F
2974143,lotus-isle-book-i.epub.txt,"In fact, the last time such a person had arrived with as much usable will power from the planet Uranus was during the last quest for the secret to the bridge.",F
2774527,my-struggle.epub.txt,"This ought not to be so if many of them did not align themselves with the destructive policies of the  _secret societies_ by __ being brainwashed into innocently believing that they are doing the right thing in their role as  _administrator and policemen_ for the  _secret societies._ It doesn't matter which one it is, as, at the end of the day weather it's the  _secret societies,_ the  _government_ or the  _Matrix of Illusion_ it is all the same thing under different disguises.",F
4977051,briannas-story.epub.txt,It's noticed that Victor starts to unconsciously dreaming dreams of the future while asleep hooked up as a mind control.,F
2654678,the-peaceful-night.epub.txt,"A sneer crossed his face as he said, ""I saw the two of you sneak off the other night.""",F
1688878,iron-skins-and-stone-hearts.epub.txt,"I tightened the lower thong of my Sheath, raising it to a nearly horizontal position; it would be more difficult to draw, but it would not slap against my thigh, or hinder me as much at the run.",F
897498,quivers-and-quills.epub.txt,Her birthday loomed before her as yet another missed deadline.,F
2481863,teaching-daily-in-the-temple.epub.txt,"I have another hope as well and that is that, before reading a homily, you will first read the Gospel passage on which it is based.",F
2251631,the-canadian-highland.epub.txt,He started to punch and kick in as many directions as he could.,F
580853,books-one-to-four-of-the-sons-of-odin-angel-magic-edition-v1.epub.txt,"I would personally like to join with your Resting Point, as the Sons of Odin fight the greatest of causes.",F
3041467,jackson-sugar-crazy-red.epub.txt,"And now Marcos was standing very close to her, and his hands were on her shoulders, and his eyes were the same deep brown as Edmond's, and his hair the same deep black, and he even smelled a bit like Edmond, and she wanted to bury her nose in his neck, and have him to touch her.",F
5429089,end-boss.epub.txt,"If he was as intelligent as I assumed, then this question should be easy.",F
3542667,the-magic-lands.epub.txt,"It was as though something was inside him, draining him.",F
2612012,without-magic.epub.txt,"She was holding two knives in her hands that were each roughly a foot long, and gleamed as though they were as hungry for battle as their owner.",F
46294,broken-city.epub.txt,"""He's mad as fire, but he's coming on my terms.""",F
106005,a-universal-saviors-ccccriiiistmaz.epub.txt,"((Jesus looks to the right of the shot, as the shot slides towards the prosecution, FredWorkerinHATT watching towards the left, as he rises, looking forward past the shot to the judge)) "" DFNS is incorrect to state that our intention is to make an example of him.",F
1513392,the-parthian.epub.txt,"She pitched forward onto the ground as the arrow struck her, the baby disappearing under the feet of the desperate mob.",F
4078040,the-stones-of-song-the-complete-series.epub.txt,"He'd touched it since he got home, of course, and it was as perfect and beautiful as any of the other trees now.",F
5333941,lizzy.epub.txt,Apparently my sanctuary wasn't as peaceful as I thought it was.,F
1857468,the-sword-in-the-sea.epub.txt,"Beside him, Ravian heard Billus quietly groan and, as soon as the officer had completed reading the detail and the assembly had been dismissed, he asked him the reason.",F
1308947,a-puma-in-the-tree-paul-eh-ems-story.epub.txt,"Dolly came to his table not smiling as usual, serious.",F
1329089,the-one-book-four-of-the-ved-ludo-series.epub.txt,"It was as if, for a while there, none of the drama from the night had ever happened.",F
4692850,please-speak-for-thy-servants-are-listening.epub.txt,He does not sit in heaven as the puppet master watching and waiting for you to sin so that He can dish out just punishments.,F
1958495,romance-down-under.epub.txt,Java disappeared into a tangle of _Kikuyu_ grass and overgrown gorse as she climbed out of her car.,F
1464389,angel-unborn.epub.txt,"_What if the Incubus finds you?_

""I'm losing my effing mind,"" I muttered, tucking the blade against my good side as I stumbled into the road.",F
529228,the-last-immortal-book-one-of-seeds-of-a-fallen-empire.epub.txt,"Eternity's cold gaze is staring into my soul, you know that it is, just as it wears away at you.",F
